seq,rtt_ms
575,10.54
576,5.95
577,14.16
578,6.97
579,12.23
580,9.58
581,9.37
582,20.30
583,8.26
584,8.27
585,5.73
586,14.60
587,5.70
588,5.89
589,10.09
590,9.79
591,7.75
592,35.29
593,13.87
594,6.71
595,8.54
596,10.39
597,9.48
598,11.94
599,6.44
600,10.36
601,7.37
602,16.33
603,9.51
604,7.02
605,26.28
606,6.71
607,6.73
608,9.18
609,6.94
610,13.88
611,17.21
612,9.91
613,6.72
614,27.31
615,9.88
616,9.29
617,10.27
618,14.33
619,73.84
620,9.64
621,10.07
622,6.25
623,5.53
624,8.66
625,8.40
626,7.62
627,6.21
628,10.67
629,16.61
630,5.80
631,7.56
632,10.11
633,11.66
634,13.79
635,8.59
636,8.37
637,10.86
638,5.40
639,14.01
640,8.31
641,12.89
642,6.78
643,11.58
644,14.75
645,7.48
646,4.10
647,10.91
648,7.11
649,4.91
650,12.41
651,10.67
652,10.12
653,36.88
654,11.29
655,6.39
656,4.32
657,5.45
658,9.69
659,7.63
660,9.81
661,6.23
662,5.27
663,7.16
664,6.46
665,8.59
666,9.60
667,7.17
668,7.13
669,10.82
670,4.60
671,8.14
672,5.02
673,9.28
674,11.44
675,10.05
676,8.73
677,6.10
678,10.40
679,13.66
680,12.21
681,8.72
682,40.70
683,6.35
684,4.84
685,39.51
686,10.37
687,8.87
688,4.59
689,5.75
690,8.56
691,14.92
692,11.49
693,7.10
694,5.25
695,13.21
696,6.57
697,8.25
698,7.19
699,11.23
700,5.83
701,7.29
702,39.98
703,10.18
704,5.45
705,9.30
706,8.23
707,8.10
708,7.96
709,7.29
710,4.34
711,7.33
712,10.82
713,9.62
714,7.32
715,6.81
716,10.23
717,6.36
718,9.26
719,6.46
720,19.33
721,6.31
722,8.69
723,8.25
724,13.29
725,13.00
726,10.90
727,18.47
728,5.45
729,8.62
730,28.79
731,6.45
732,15.85
733,5.95
734,4.57
735,7.75
736,6.83
737,14.56
738,9.42
739,10.25
740,9.62
741,6.26
742,4.82
743,4.43
744,6.70
745,8.66
746,11.31
747,17.02
748,25.28
749,6.31
750,13.71
751,12.03
752,5.85
753,6.24
754,9.20
755,14.76
756,5.87
757,6.62
758,8.90
759,4.32
760,7.68
761,6.63
762,11.35
763,9.21
764,7.95
765,8.16
766,10.59
767,4.98
768,7.74
769,14.53
770,11.61
771,8.13
772,12.64
773,6.42
774,17.35
775,8.35
776,6.27
777,8.60
778,7.66
779,15.67
780,4.50
781,4.81
782,5.59
783,5.72
784,5.88
785,12.67
786,4.85
787,11.28
788,8.47
789,9.88
790,10.24
791,26.96
792,5.04
793,7.65
794,8.16
795,8.88
796,11.62
797,5.06
798,17.46
799,8.05
800,8.86
801,12.98
802,11.25
803,8.67
804,6.21
805,4.91
806,5.58
807,7.86
808,15.17
809,9.97
810,10.76
811,8.60
812,16.85
813,6.79
814,11.22
815,5.71
816,9.13
817,6.50
818,16.57
819,27.21
820,26.15
821,18.60
822,7.40
823,8.00
824,5.58
825,11.25
826,15.77
