seq,rtt_ms,oneway_est_ms
317,54.51,27.25
318,58.38,29.19
319,71.54,35.77
320,67.04,33.52
321,61.89,30.94
322,63.41,31.70
323,64.93,32.46
324,64.55,32.27
325,59.43,29.72
326,56.69,28.35
327,56.73,28.36
328,74.95,37.48
329,61.83,30.92
330,70.61,35.31
331,57.87,28.94
332,74.11,37.06
333,60.29,30.15
334,57.92,28.96
335,59.04,29.52
336,62.48,31.24
337,67.17,33.58
338,63.08,31.54
339,67.22,33.61
340,61.48,30.74
341,69.19,34.59
342,57.18,28.59
343,60.97,30.49
344,57.66,28.83
345,59.01,29.50
346,65.70,32.85
347,63.21,31.61
348,66.27,33.13
349,65.78,32.89
350,64.08,32.04
351,65.63,32.82
352,54.58,27.29
353,62.10,31.05
354,53.89,26.95
355,52.85,26.42
356,76.13,38.06
357,67.01,33.50
358,65.07,32.53
359,67.00,33.50
360,60.80,30.40
361,62.11,31.06
362,56.48,28.24
363,63.49,31.74
364,62.65,31.32
365,63.59,31.79
366,63.65,31.82
367,72.59,36.30
368,58.28,29.14
369,64.22,32.11
370,62.59,31.29
371,56.07,28.04
372,61.99,31.00
373,54.90,27.45
374,68.17,34.08
375,75.07,37.54
376,65.36,32.68
377,55.83,27.91
378,61.49,30.75
379,68.53,34.27
380,64.35,32.17
381,60.31,30.15
382,45.80,22.90
383,60.04,30.02
384,74.13,37.07
385,173.12,86.56
386,66.35,33.17
387,65.78,32.89
388,61.66,30.83
389,57.66,28.83
390,60.30,30.15
391,63.01,31.50
392,65.71,32.85
393,63.22,31.61
394,61.66,30.83
395,178.06,89.03
396,67.44,33.72
397,61.77,30.89
398,52.17,26.08
399,59.99,30.00
400,59.42,29.71
401,63.93,31.96
402,70.95,35.48
403,59.11,29.56
404,65.57,32.78
405,62.10,31.05
406,62.32,31.16
407,63.06,31.53
408,60.19,30.09
409,51.88,25.94
410,55.18,27.59
411,73.50,36.75
412,64.69,32.35
413,73.43,36.72
414,58.57,29.28
415,79.46,39.73
416,12.28,6.14
417,8.41,4.21
418,5.91,2.96
419,8.85,4.43
420,6.89,3.44
421,4.60,2.30
422,5.83,2.92
423,15.67,7.84
424,26.27,13.14
425,10.09,5.04
426,6.86,3.43
427,14.96,7.48
428,10.94,5.47
429,9.94,4.97
430,9.31,4.65
431,8.11,4.06
432,17.75,8.87
433,5.69,2.84
434,5.24,2.62
435,5.52,2.76
436,10.28,5.14
437,20.33,10.17
438,5.82,2.91
439,8.02,4.01
440,7.87,3.94
441,10.91,5.46
442,9.73,4.86
443,10.61,5.31
444,10.38,5.19
445,143.85,71.93
446,257.48,128.74
447,11.31,5.65
448,56.34,28.17
449,262.30,131.15
450,55.97,27.99
451,148.75,74.37
452,260.89,130.45
453,17.59,8.79
