Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0396032365699452,-0.179975323556713,0.00319132330531058,0,0,0,0.0714886173099694,5.80523540227651E-05,1.91809430872111E-21,8.64891249667121E-23,5.69343997438362E-05,-1.98636141174058E-21,3.48906593535471E-05,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/base_link.STL,,bus_assembly_head-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.0144943377294202,-3.40932699502416E-08,0.000195104358892084,0,0,0,0.0861353887155759,1.99776586952403E-05,-1.72087942597264E-10,-5.06437416027467E-08,4.35086698833606E-05,-6.51212500764673E-13,4.97203166390565E-05,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/link1.STL,,bus_assembly_joint-1,cordinate1,axis1,joint1,revolute,-0.0396032365699452,-0.18,-0.0763893248764293,1.5707963267949,-1.5707963267949,0,base_link,0,0,1,1.5,1,-2.094,2.094,,,,,,,,
link2,-0.014494,-3.4093E-08,0.0001951,0,0,0,0.086135,1.9978E-05,-1.7209E-10,-5.0644E-08,4.3509E-05,-6.5121E-13,4.972E-05,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/link2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/link2.STL,,bus_assembly_joint-2,cordinate2,axis2,joint2,revolute,-0.0747,0,0,0,0,0,link1,0,0,1,1.5,1,-2.094,2.094,,,,,,,,
link3,-0.014494,-3.4093E-08,0.0001951,0,0,0,0.086135,1.9978E-05,-1.7209E-10,-5.0644E-08,4.3509E-05,-6.5121E-13,4.972E-05,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/link3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/link3.STL,,bus_assembly_joint-3,cordinate3,axis3,joint3,revolute,-0.0747,0,0,0,0,0,link2,0,0,1,1.5,1,-2.094,2.094,,,,,,,,
link4,-0.089194,-3.4093E-08,0.0001951,0,0,0,0.086135,1.9978E-05,-1.7209E-10,-5.0644E-08,4.3509E-05,-6.5121E-13,4.972E-05,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/link4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/link4.STL,,bus_assembly_joint-4,cordinate4,axis4,joint4,revolute,0,0,0,0,0,0,link3,0,0,1,1.5,1,-2.094,2.094,,,,,,,,
link5,-0.0144943377294204,-3.40932700612639E-08,0.000195104358892029,0,0,0,0.086135388715576,1.99776586952403E-05,-1.72087942574946E-10,-5.0643741602745E-08,4.35086698833606E-05,-6.51212502736261E-13,4.97203166390565E-05,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/link5.STL,,bus_assembly_joint-5,cordinate5,axis5,joint5,revolute,-0.1494,0,0,0,0,0,link4,0,0,1,1.5,1,-2.094,2.094,,,,,,,,
link6,-0.019735,-5.2042E-16,0.00021609,0,0,0,0.091595,1.9408E-05,-9.4092E-18,-6.2417E-09,4.0186E-05,-1.7545E-15,4.7215E-05,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/link6.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/link6.STL,,bus_assembly_tail-1,cordinate6,axis6,joint6,revolute,-0.0747,0,0,0,0,0,link5,0,0,1,1.5,1,-2.094,2.094,,,,,,,,
