frequency,wavelength,ajoint,score,mean_fx,mean_fy,mean_abs_fy,mean_force_mag,peak_force_mag,energy_proxy
1.25125,1.55,0.45,5.656998947884739,5.734676980747192,-0.43856870057459674,15.535606572490618,19.0139072053315,28.433977619811486,0.10122061177951981
1.25125,1.5675000000000001,0.45,5.655746698727809,5.7337711985935975,-0.4325454463748251,15.60489997315781,19.203145777702698,28.627056547785585,0.10124918710690069
1.25125,1.5325,0.45,5.654094641801158,5.731393082378197,-0.4440001845307361,15.459688115407912,18.819227695729108,28.22700655160549,0.1011892145093907
1.25125,1.585,0.45,5.650445691170531,5.728783912317998,-0.4260418009507503,15.667644229493357,19.386995843235443,28.768444173558745,0.10127485453929558
1.25125,1.5150000000000001,0.45,5.6469795379492425,5.72386418831326,-0.44877526312238386,15.376930072803564,18.61898077342242,28.033827636132177,0.10115511337950936
1.243125,1.5675000000000001,0.45,5.644980086160703,5.722049084827379,-0.670449208109116,15.413799733335285,19.001073544993368,28.54585816428041,0.1010573574852345
1.243125,1.55,0.45,5.643258506992689,5.7199677949212075,-0.6752538484479458,15.341857585703659,18.809789272333976,28.345021143982084,0.10102188442469724
1.243125,1.585,0.45,5.642674855783991,5.7200692952334675,-0.6653852345298061,15.47888788989534,19.18671107707532,28.70901860501669,0.10109058101299984
1.25125,1.6025,0.45,5.641235538494905,5.719855120691289,-0.41919087965060786,15.723916439276856,19.565508805648978,28.84468798535456,0.10129755707689408
1.243125,1.5325,0.45,5.637416269000089,5.713731632195915,-0.6795865737485332,15.26307263916537,18.612853628407922,28.14772694702289,0.10098432336600842
1.243125,1.6025,0.45,5.636537554895309,5.714223275571402,-0.660216282388271,15.537144135218584,19.366690353959648,28.807817106951,0.10112142428164911
1.25125,1.4975,0.45,5.635811271333203,5.712247893451276,-0.4528929496414224,15.287324423614608,18.41326630434088,27.83838968534391,0.10111846188729456
1.25125,1.62,0.45,5.6281822377844275,5.707051416200828,-0.4121242362758776,15.773835683280192,19.738736044807933,28.86412419794522,0.10131726362985849
1.243125,1.5150000000000001,0.45,5.627650089255821,5.703537784370482,-0.6832788412177097,15.177539022932184,18.410469478689194,27.955210880031863,0.1009448692497854
1.243125,1.62,0.45,5.626727489060357,5.704670929474664,-0.6550651151711973,15.58868808286116,19.541076348484587,28.840419513585854,0.1011497847979402
1.259375,1.5325,0.45,5.6237029938913095,5.701865396175448,-0.22555603947558273,15.632480456827732,18.998581551559212,28.309910972129614,0.10139526418867979
1.259375,1.55,0.45,5.622941868006751,5.701465336309374,-0.2199044500975257,15.704693660524553,19.19044439075116,28.518656980454356,0.10141790006948971
1.259375,1.5150000000000001,0.45,5.620211883665715,5.697979000788834,-0.23059636280722376,15.55342342462374,18.801157663962968,28.10859634511086,0.10136936425599437
1.25125,1.48,0.45,5.620174098693565,5.69612615122948,-0.4563520834934711,15.190410507183085,18.201639550212242,27.63585382936221,0.10107945229218553
1.259375,1.5675000000000001,0.45,5.617987438029325,5.696839596726056,-0.21366553668914276,15.770431739346085,19.376963694725905,28.697765401222544,0.10143723936578757
1.243125,1.4975,0.45,5.613827970573569,5.689253776307047,-0.6862637292398537,15.085161146695576,18.202592280422223,27.759192053660804,0.10090375299785284
1.243125,1.6375,0.45,5.613337635040449,5.691506053878159,-0.6499962004177449,15.633683767541951,19.7099812874616,28.852879651385436,0.10117558578426193
1.259375,1.4975,0.45,5.612542121860986,5.68987873127059,-0.2350500624986362,15.467321881920856,18.598130911534174,27.912283803609636,0.10134026459366847
1.25125,1.6375,0.45,5.611260957309152,5.6903488850059025,-0.4049642406657801,15.817585539350102,19.906717343727525,28.87588732958952,0.10133396613330119
1.259375,1.585,0.45,5.6089759445188285,5.688124788097019,-0.20689757565318329,15.829768715638139,19.558226051327907,28.81830718749581,0.10145327764122654
1.259375,1.48,0.45,5.600386075827763,5.677256156625173,-0.2389242045168039,15.374016159482,18.38931620287963,27.71252181794526,0.10130806520548281
1.25125,1.4625000000000001,0.45,5.5997790349329435,5.675208918441516,-0.4591329578510716,15.085976701714497,17.983817861908157,27.42428040508482,0.10103831897278903
1.243125,1.655,0.45,5.596378312288323,5.674740640687098,-0.64501364302085,15.672465679754993,19.873589001529968,28.864152949712384,0.1011987737456562
1.259375,1.6025,0.45,5.595949572677124,5.675364014175818,-0.19966367011083305,15.882888299738806,19.734396305571064,28.873640768676967,0.10146603508392377
