Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0396032365699452,0.00319132330531057,0.179975323556713,0,0,0,0.0714886173099694,5.80523540227651E-05,8.55692711147202E-23,-1.92202447784849E-21,3.48906593535471E-05,7.71367009920393E-22,5.69343997438362E-05,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/base_link.STL,,bus_assembly_head-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.0144943377294202,-3.40932699849361E-08,0.000195104358892056,0,0,0,0.0861353887155759,1.99776586952403E-05,-1.72087942597132E-10,-5.06437416027461E-08,4.35086698833605E-05,-6.51212501959059E-13,4.97203166390564E-05,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/link1.STL,,bus_assembly_joint-1,cordinate1,axis1,joint1,revolute,-0.039603,-0.18,-0.076389,1.5708,-1.5708,0,base_link,0,0,1,1.5,1,-2.094,2.094,,,,,,,,
link2,-0.0144943377294203,-3.4093269991875E-08,0.000195104358892112,0,0,0,0.0861353887155759,1.99776586952403E-05,-1.72087942586697E-10,-5.06437416027505E-08,4.35086698833605E-05,-6.51212502883899E-13,4.97203166390564E-05,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/link2.STL,,bus_assembly_joint-2,cordinate2,axis2,joint2,revolute,-0.0747,0,0,0,0,0,link1,0,0,1,1.5,1,-2.094,2.094,,,,,,,,
link3,-0.0144943377294202,-3.40932699849361E-08,0.000195104358892084,0,0,0,0.086135388715576,1.99776586952403E-05,-1.72087942583246E-10,-5.06437416027307E-08,4.35086698833606E-05,-6.51212500497293E-13,4.97203166390565E-05,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/link3.STL,,bus_assembly_joint-3,cordinate3,axis3,joint3,revolute,-0.0747,0,0,0,0,0,link2,0,0,1,1.5,1,-2.094,2.094,,,,,,,,
link4,-0.0891943377294201,-3.4093269860036E-08,0.000195104358892167,0,0,0,0.0861353887155758,1.99776586952402E-05,-1.7208794255731E-10,-5.06437416027511E-08,4.35086698833605E-05,-6.51212503571164E-13,4.97203166390564E-05,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/link4.STL,,bus_assembly_joint-4,cordinate4,axis4,joint4,revolute,0,0,0,0,0,0,link3,0,0,1,1.5,1,-2.094,2.094,,,,,,,,
link5,-0.0144943377294203,-3.4093269991875E-08,0.00019510435889214,0,0,0,0.0861353887155758,1.99776586952403E-05,-1.72087942569097E-10,-5.06437416027435E-08,4.35086698833606E-05,-6.51212501600546E-13,4.97203166390564E-05,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/link5.STL,,bus_assembly_joint-5,cordinate5,axis5,joint5,revolute,-0.1494,0,0,0,0,0,link4,0,0,1,1.5,1,-2.094,2.094,,,,,,,,
link6,-0.0197353951043698,-5.82867087928207E-16,0.000216092084561054,0,0,0,0.0915951127437803,1.94082875231693E-05,-9.40913745817075E-18,-6.24174548318021E-09,4.01857882657394E-05,-1.75447981590688E-15,4.72146296607672E-05,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://bus_assembly_total_3/meshes/link6.STL,,bus_assembly_tail-1,cordinate6,axis6,joint6,revolute,-0.0747,0,0,0,0,0,link5,0,0,1,1.5,1,-2.094,2.094,,,,,,,,
