frequency,wavelength,ajoint,score,fx_over_abs_fy,abs_fy_over_fx,mean_fx,mean_fy,mean_abs_fy,mean_force_mag,peak_force_mag,energy_proxy
0.5,0.8,0.1,-0.31741352847788834,-0.039867564546260364,inf,-0.0040954843759806086,-8.405169990268747e-06,0.10272722757439597,0.10393390686570506,0.1406908234619668,0.00499999999994786
0.5,0.9555555555555556,0.1,-0.4275354287925253,-0.004847418234140733,inf,-0.0006784113081719947,1.1206272525328132e-06,0.13995312048667322,0.1407912462471047,0.19935671083913797,0.004999999999954816
0.6,0.8,0.1,-0.48035331477041576,-0.02228639823611117,inf,-0.0034844880585207807,0.03228864087881896,0.15635043498750656,0.15789591113065057,0.20270741262951936,0.004913745521481933
0.5,1.1111111111111112,0.1,-0.5502844597717755,0.015875838496228426,62.988799000290086,0.0029252425988751263,-7.256064715889465e-06,0.18425751808763152,0.18533873914414348,0.2753606477121891,0.004999999999951548
0.5,0.8,0.15,-0.5685771283259192,-0.0496378101180166,inf,-0.00910523269562729,-2.2630667221164914e-05,0.1834334084033744,0.1861070074645375,0.27107744476118684,0.011249999999882682
0.7,0.8,0.1,-0.6193745994166518,-0.052372382944927416,inf,-0.010455909124686706,0.03579364035076929,0.19964547222687382,0.20219612449243332,0.2756162654736891,0.0050189630073206965
0.6,0.9555555555555556,0.1,-0.6292539545162299,0.011054841483272274,90.45810394596417,0.0023143081837236597,0.0404623794639263,0.20934793024627035,0.21052022197145964,0.2874338248137986,0.005000455047319752
0.5,1.2666666666666666,0.1,-0.6749137140095635,0.024345195460539037,41.075866555308345,0.005564857867724814,-2.8731561868269752e-05,0.2285813591739222,0.23067209949664783,0.3549211757197381,0.004999999999946005
0.5,0.9555555555555556,0.15,-0.789945499215524,0.012064478252788523,82.88796075941909,0.003174916438518548,4.27912320787982e-07,0.26316234917036,0.26480825743743536,0.4099310438097921,0.011249999999898333
0.6,1.1111111111111112,0.1,-0.7939338704653265,0.0313372207428259,31.91093454670617,0.00850688850000496,0.049257091800473066,0.2714627621197857,0.27307439490115987,0.3960761694715831,0.005041540160808446
0.5,1.4222222222222223,0.1,-0.794060145848374,0.024767662643859715,40.375226939224945,0.006664684742500423,-5.6359007172062545e-05,0.2690881589568445,0.2728295275369083,0.4297387935949841,0.00499999999994489
0.6,0.8,0.15,-0.8402399209242183,-0.026541454167088956,inf,-0.007248785586933098,0.05183593655636055,0.27311184765156893,0.2766152857967165,0.39033641803865077,0.011055927423334345
0.7,0.9555555555555556,0.1,-0.8415585077701369,-0.014276107981829694,inf,-0.003920723755492982,0.06317074150476715,0.2746353390211947,0.27634437704716575,0.39081790661939053,0.004999740635110305
0.8,0.8,0.1,-0.8426423990792358,-0.04593761698468382,inf,-0.012503153671958669,-0.04343835173614388,0.27217680177287773,0.2753819501720145,0.3672905176659228,0.004986878495467334
0.5,0.8,0.2,-0.8922076375931339,-0.055775183561066026,inf,-0.016022745311617844,-4.09094307147484e-05,0.2872737351742676,0.29214604721242143,0.45327687884498485,0.01999999999979144
0.5,1.577777777777778,0.1,-0.9032655087760149,0.020570430063494453,48.61347073995606,0.00626089076710943,-8.539435675436379e-05,0.30436363011293527,0.3101471407965606,0.4965882030177929,0.004999999999947402
