frequency,wavelength,ajoint,score,fx_over_abs_fy,abs_fy_over_fx,mean_fx,mean_fy,mean_abs_fy,mean_force_mag,peak_force_mag,energy_proxy
0.5,0.8,0.1,-0.31741352847788834,-0.039867564546260364,inf,-0.0040954843759806086,-8.405169990268747e-06,0.10272722757439597,0.10393390686570506,0.1406908234619668,0.00499999999994786
0.5133333333333333,0.8,0.1,-0.33016301578843976,-0.040118310610840056,inf,-0.0042864321324299045,0.0012850206359457275,0.10684478152656061,0.10809035035842593,0.1483285435635693,0.005019841812165838
0.5,0.8233333333333334,0.1,-0.33147125960992246,-0.03396944062099854,inf,-0.003651104035784324,-6.021691028067267e-06,0.10748201822102889,0.10861177296424998,0.14772723064626683,0.004999999999948907
0.5133333333333333,0.8233333333333334,0.1,-0.34423158242398594,-0.0343843020526806,inf,-0.003837447460182409,0.001163021351953077,0.11160463441436182,0.11277226202467448,0.15575155213513572,0.005016549084916357
0.5,0.8466666666666667,0.1,-0.3465622696952132,-0.028173693886067802,inf,-0.003171991014752399,-3.886547614357028e-06,0.11258697661654452,0.11364344309843141,0.15546542877030442,0.004999999999950205
0.5266666666666666,0.8,0.1,-0.3479117096361549,-0.036941502335902536,inf,-0.0041634676991729215,0.004314187763096832,0.11270434161868263,0.11398591877086046,0.15616483497520925,0.005031127285297478
0.5,0.8,0.10833333333333334,-0.35429925461465567,-0.041881824456127856,inf,-0.004799245258773153,-1.0427086074791702e-05,0.1145901670019287,0.11600000541287238,0.15866505975035378,0.005868055555494363
0.5133333333333333,0.8466666666666667,0.1,-0.3593531243193873,-0.02872722156135657,inf,-0.003353079398782656,0.0010382432408101395,0.11672132620347693,0.11781573235700551,0.16391183712176596,0.005012646479498908
0.5266666666666666,0.8233333333333334,0.1,-0.36232739610871356,-0.03146036319646511,inf,-0.003699204316808162,0.004181716631866394,0.11758301370226407,0.11878328093998275,0.16398615734543548,0.005023642784674011
0.5,0.8700000000000001,0.1,-0.3625825526176969,-0.02259801153570839,inf,-0.0026666829425584576,-2.075834143418831e-06,0.11800520317217654,0.11899464834355675,0.16385564401385191,0.004999999999951554
0.5133333333333333,0.8,0.10833333333333334,-0.3679704260194867,-0.0422872188490004,inf,-0.0050320183197076354,0.0012470777446867984,0.1189961992458292,0.12045364997258032,0.1672931575358158,0.005891342126777962
0.54,0.8,0.1,-0.36958144934317677,-0.03170428314467762,inf,-0.0038022191094337094,0.008700980510021416,0.1199276164700797,0.12126362018645986,0.1641973168736909,0.005029506952784384
0.5,0.8233333333333334,0.10833333333333334,-0.3704842507550383,-0.03536966546254626,inf,-0.004247109886063951,-7.629989844971874e-06,0.12007775110458176,0.12139064486101922,0.167069779698981,0.005868055555495593
0.5133333333333333,0.8700000000000001,0.1,-0.375425035348964,-0.023269207462532665,inf,-0.0028425245054846705,0.0009119485600206119,0.12215820027655058,0.12318740433692628,0.17275730060607072,0.0050087174788667
0.5266666666666666,0.8466666666666667,0.1,-0.3778281321617182,-0.026052091132245415,inf,-0.003199950013778869,0.004047093225184881,0.12282891217965224,0.12395192133331519,0.17258213010661724,0.005015998149351093
0.5,0.8933333333333334,0.1,-0.3794205411204935,-0.017311359886563637,inf,-0.002141382065606307,-6.425927511770624e-07,0.12369808493602859,0.12462991041472901,0.1728572490678902,0.00499999999995279
0.5133333333333333,0.8233333333333334,0.10833333333333334,-0.384137422165072,-0.03593621368972835,inf,-0.004473340838318887,0.0010970307234673556,0.12448002666450923,0.12584011351776653,0.17615149592868878,0.005887477745492113
0.54,0.8233333333333334,0.1,-0.3846937048305105,-0.026429055869277508,inf,-0.0033048353246202503,0.008678349208155084,0.1250455309855378,0.1262991065006934,0.17242896736614222,0.0050183527713019965
0.5266666666666666,0.8,0.10833333333333334,-0.38727542841676715,-0.03901545850287211,inf,-0.004891438262306239,0.004467359296054049,0.12537180005064294,0.12686972675337188,0.17615256100577736,0.005904586883439401
0.5,0.8466666666666667,0.10833333333333334,-0.3878877251312653,-0.02892121028831199,inf,-0.0036435432089948826,-5.120713970356406e-06,0.12598169899090833,0.12720152080505434,0.1763100079671461,0.005868055555497116
0.5133333333333333,0.8933333333333334,0.1,-0.3923379209888558,-0.01808484347704853,inf,-0.0023126380961332655,0.0007852581311806901,0.12787714193204017,0.12885357683603696,0.18224324588170598,0.005005221764163656
0.5,0.8,0.11666666666666667,-0.3931523784011793,-0.04373451685931088,inf,-0.005557790827805044,-1.2599231259329712e-05,0.12708019264700796,0.12870897286373123,0.17815197855390438,0.006805555555484587
0.5533333333333333,0.8,0.1,-0.39337922250054275,-0.02624569305416329,inf,-0.0033562047241370544,0.01380752381833286,0.12787639927095268,0.12927470490593845,0.17242396937805593,0.005014165094541435
0.5266666666666666,0.8700000000000001,0.1,-0.394310245122418,-0.020836949218784984,inf,-0.002675564574065932,0.003912274231233291,0.12840481329454168,0.12945765554302655,0.18189705050592797,0.005009231527637704
0.5,0.9166666666666667,0.1,-0.39696960802297554,-0.01235053546220019,inf,-0.0016009882489051801,3.789559720246416e-07,0.12962905566362962,0.13051485785488404,0.18240256193941762,0.004999999999953803
0.54,0.8466666666666667,0.1,-0.40092524921327233,-0.021243601314822978,inf,-0.0027731750577149167,0.00865489332021066,0.13054166365755981,0.1317167705315019,0.18147347510844913,0.005008441264638197
0.5133333333333333,0.8466666666666667,0.10833333333333334,-0.40154190375066084,-0.029618421989806427,inf,-0.003861854269657527,0.0009431600349094609,0.13038690146918142,0.13165639734017504,0.18588729416857044,0.0058828976044119135
0.5266666666666666,0.8233333333333334,0.10833333333333334,-0.4038084601227467,-0.03293839101166026,inf,-0.00431432590158729,0.0042945114976452176,0.1309816833511998,0.13237712692905831,0.18547806677652748,0.005895802990346583
0.5,0.8700000000000001,0.10833333333333334,-0.4063793612866934,-0.02267066478187311,inf,-0.0029983331372274956,-2.9862922612267082e-06,0.13225607480310356,0.13339156350704018,0.18633002023979026,0.005868055555498698
0.5133333333333333,0.8,0.11666666666666667,-0.4077321641826683,-0.04429888451886592,inf,-0.005837212476830202,0.0011861892755675853,0.13176883662486494,0.13345588819137805,0.18783365629153437,0.006832562466559056
0.5533333333333333,0.8233333333333334,0.1,-0.40948185059336717,-0.021052848838333128,inf,-0.002807102295827956,0.013997025904935597,0.13333598304837352,0.1346522808362293,0.18107745854536147,0.005001112194184271
0.5133333333333333,0.9166666666666667,0.1,-0.40998811418407005,-0.013216658719527449,inf,-0.0017689486536347694,0.0006592976228676832,0.13384234935424108,0.13478408830087218,0.1922992076105267,0.005002474359671217
0.54,0.8,0.10833333333333334,-0.4110282779303592,-0.03350099812292829,inf,-0.004465656919131133,0.009233111213151545,0.13329922000368133,0.13486258103829588,0.18524006123123543,0.00590268524319834
0.5,0.8233333333333334,0.11666666666666667,-0.4116332657476624,-0.03660805253715334,inf,-0.004882088027387806,-9.354153979984403e-06,0.13336104187549988,0.1348699492476899,0.18804648746839217,0.006805555555486013
0.5266666666666666,0.8933333333333334,0.1,-0.41166494594378855,-0.01588872577233967,inf,-0.0021334210146645703,0.0037793368472925125,0.13427263112430296,0.1352653950968945,0.19188284317362547,0.005004048151556004
0.5,0.9400000000000001,0.1,-0.415132044382312,-0.007732585558119513,inf,-0.0010498118986155141,9.70123335491735e-07,0.1357646663880972,0.1366172561111622,0.19243167499336133,0.004999999999954518
0.5666666666666667,0.8,0.1,-0.4174986379626615,-0.022208012527407745,inf,-0.0030179645858103314,0.01897820913006221,0.1358953027465086,0.13734792163319753,0.1808419739093076,0.004987880062577709
0.54,0.8700000000000001,0.1,-0.4181713017905961,-0.016260714575600424,inf,-0.002217607964580827,0.008633208735991047,0.13637826027082467,0.13748201104929836,0.19127109638241013,0.005000971492455974
0.5133333333333333,0.8700000000000001,0.10833333333333334,-0.42005983940553737,-0.02347307148671557,inf,-0.0032081278767459205,0.0007869884710208054,0.13667269230452178,0.13786457813402672,0.19644206264562303,0.0058782864856143915
0.5266666666666666,0.8466666666666667,0.10833333333333334,-0.4216147827841666,-0.0268884057075544,inf,-0.003684420049415528,0.004118078327287477,0.1370263484376233,0.13832440973073143,0.1957245813009773,0.005886831161391214
0.5,0.8933333333333334,0.10833333333333334,-0.42582788337609084,-0.016699032624258658,inf,-0.0023187517396290915,-1.2871864450829662e-06,0.13885545299556123,0.13991854445534033,0.1970627598556569,0.00586805555550015
0.5133333333333333,0.8233333333333334,0.11666666666666667,-0.4261584729064645,-0.03732836198843833,inf,-0.00515260959506327,0.0010052586254615222,0.13803470928242664,0.13960462264738865,0.1982551943683367,0.00682808069891393
0.5533333333333333,0.8466666666666667,0.1,-0.426733854280368,-0.015979956952876614,inf,-0.0022241465102442,0.014185762147293503,0.13918351074430288,0.14042178788044812,0.19058345111740985,0.004991300399417145
0.5133333333333333,0.9400000000000001,0.1,-0.428304367659649,-0.008686473691436785,inf,-0.001216356973362132,0.0005352234536495217,0.140028855962717,0.14095586668252577,0.20286203012630524,0.005000651162459695
0.54,0.8233333333333334,0.10833333333333334,-0.4283293459902076,-0.027657584738815525,inf,-0.0038492115697305405,0.009175922672850199,0.13917381456409084,0.14063312428203983,0.19504705468819167,0.00588959457187526
0.5266666666666666,0.8,0.11666666666666667,-0.4286106428484612,-0.04095236106340684,inf,-0.005678708615072386,0.004586971012708716,0.13866620794537338,0.14039718744203958,0.19778060176898654,0.006847923249432677
0.5266666666666666,0.9166666666666667,0.1,-0.4297884359751367,-0.011249827601994602,inf,-0.0015794352249383962,0.003650459334379022,0.1403963936885896,0.14134131048994503,0.2024649252309327,0.00500083012968944
0.5,0.8466666666666667,0.11666666666666667,-0.43152484278085806,-0.02950472381898348,inf,-0.004134437985693405,-6.438512993682366e-06,0.14012800157218513,0.1415229097967569,0.1989180360215265,0.006805555555487778
0.5,0.8,0.125,-0.4339969150221011,-0.0454302601800628,inf,-0.006369580675240842,-1.491332168667725e-05,0.1402056833924132,0.1420690442215634,0.19915367094359296,0.007812499999918531
0.5666666666666667,0.8233333333333334,0.1,-0.4347389486275581,-0.016934813427384225,inf,-0.0024005149872740154,0.019433611697427657,0.14175030611156855,0.14312228554770343,0.1899289700268931,0.004975475631233917
0.54,0.8933333333333334,0.1,-0.43632250731467637,-0.011547634973935444,inf,-0.0016457340032290746,0.008616106191713562,0.14251697485621223,0.1435593691969375,0.20177230114469702,0.004996584138022133
0.5533333333333333,0.8,0.10833333333333334,-0.4372207964141201,-0.027713578576793595,inf,-0.003936998225297545,0.014826118507612365,0.1420602617012533,0.14369910476890857,0.19455306953593443,0.005884679867899322
0.5133333333333333,0.8933333333333334,0.10833333333333334,-0.43956286848376397,-0.017588043619149122,inf,-0.0025202376571821666,0.0006298688925369618,0.14329266584478093,0.14443058539539436,0.2077442647112869,0.005874183875997624
0.5266666666666666,0.8700000000000001,0.10833333333333334,-0.4405698417011067,-0.021002794892006148,inf,-0.003013086811982975,0.003940447933648955,0.1434612311111881,0.1446709601353865,0.20683065136368323,0.005878889778963694
0.58,0.8,0.1,-0.4418053858890437,-0.020422928901662557,inf,-0.0029386700768324384,0.024119971998463142,0.14389072649580698,0.14538319799347899,0.18944886476458306,0.004956220874626224
0.5533333333333333,0.8700000000000001,0.1,-0.44502759659465574,-0.011128389807563747,inf,-0.0016178480414341231,0.014376487938857601,0.14538024542728578,0.14654778995533393,0.2008784781846911,0.00498571297611976
