frequency,wavelength,ajoint,score,mean_fx,mean_fy,abs_mean_fy,mean_abs_fy,mean_force_mag,peak_force_mag,energy_proxy
1.1,1.575,0.45,4.641904557244325,4.649111283729866,-1.4413452971082716,1.4413452971082716,13.440788756794802,16.38582377439717,26.437207999944484,0.10135643910405988
1.1,1.65,0.45,4.63319398529934,4.640598980602978,-1.480999060727584,1.480999060727584,13.798578893121794,17.1499196478805,27.317382399204504,0.10137531566906158
1.1,1.5,0.45,4.594275703483377,4.601236417490758,-1.392142801476141,1.392142801476141,13.011037413913114,15.55458619884924,25.20871960299886,0.10130663121453082
1.1,1.425,0.45,4.484145022100841,4.490814858627822,-1.333967305396171,1.333967305396171,12.508197188156304,14.656303576605126,23.84256674193039,0.10122754205560898
1.1,1.35,0.45,4.290369365026626,4.2967039488004115,-1.266916754757093,1.266916754757093,11.926096543488311,13.686091756348297,22.328832857565683,0.10112761397625818
1.05,1.65,0.45,4.226082744497765,4.227216486763062,-0.2267484530595507,0.2267484530595507,12.352330085883763,15.474311484851953,25.986043552252887,0.1008076677559778
1.05,1.575,0.45,4.195145591981984,4.196174394285927,-0.2057604607886476,0.2057604607886476,12.018599082803107,14.7600651213415,24.908924606465494,0.10074624379421479
1.05,1.5,0.45,4.127075897473427,4.127997249475813,-0.18427040047717425,0.18427040047717425,11.630593494194407,13.991859906505223,23.72483062526477,0.10073866343493643
1.05,1.425,0.45,4.009756377241142,4.010573510886047,-0.16342672898111754,0.16342672898111754,11.179972677894122,13.165014973393696,22.41979487042812,0.10079607175057964
1.0,1.65,0.45,3.933105738044272,3.9331396181539238,-0.006776021930294291,0.006776021930294291,11.878408611196853,14.762779270192622,24.389565778868743,0.10124999999999931
1.0,1.575,0.45,3.9259861518714043,3.926013147575376,-0.005399140794393588,0.005399140794393588,11.552015629434319,14.084646245189424,23.360760460820817,0.10124999999999929
1.0,1.5,0.45,3.879070522030976,3.8790904744053334,-0.003990474871515744,0.003990474871515744,11.170315687582383,13.352747907250992,22.232521819762184,0.10124999999999926
1.05,1.35,0.45,3.8240072532615823,3.8247303681795373,-0.14462298359095338,0.14462298359095338,10.65982107311367,12.275991594627866,20.978625690297097,0.10092203767394256
1.0,1.425,0.45,3.7796892995755953,3.77970235787991,-0.0026116608629859,0.0026116608629859,10.725857994387912,12.562109619011265,20.992711583811996,0.10124999999999926
1.0,1.35,0.45,3.6088974935326927,3.6089042545682486,-0.001352207111157668,0.001352207111157668,10.212299910732511,11.708751373839613,19.62509843197346,0.10124999999999929
0.9,1.65,0.45,3.5798866986132287,3.5827454124906772,0.5717427754897207,0.5717427754897207,10.296505305010916,12.784463402803784,21.162640082970672,0.10117837819668438
0.9,1.575,0.45,3.552504195391478,3.555393422964596,0.5778455146235584,0.5778455146235584,9.991614334140433,12.18147824814966,20.23942459339404,0.1010966356952807
0.9,1.5,0.45,3.487828500755972,3.4907110277621842,0.576505401242415,0.576505401242415,9.639429483726392,11.530377771082835,19.230583730956184,0.10099258572194611
0.9,1.425,0.45,3.3742416196665417,3.3770732475308822,0.5663255728681518,0.5663255728681518,9.233986648276288,10.826897074115346,18.124774587946803,0.1008775472216233
0.9500000000000001,1.575,0.45,3.328084972359286,3.330758398945656,-0.5346853172739807,0.5346853172739807,10.758802950142409,13.013582902681256,21.803713530838618,0.1018288249706048
0.9500000000000001,1.5,0.45,3.3206716300019203,3.3232130525262695,-0.5082845048698738,0.5082845048698738,10.40317185085254,12.33974179548796,20.734452333871705,0.10199341349951829
0.9500000000000001,1.65,0.45,3.2993248932676154,3.3021282126021374,-0.5606638669044217,0.5606638669044217,11.060241311035067,13.636278740387366,22.780804173247034,0.10166166072988815
0.9500000000000001,1.425,0.45,3.26459139315874,3.2669996859335395,-0.4816585549599319,0.4816585549599319,9.985976878576441,11.60975156688472,19.56095877885015,0.10213047717345268
0.9,1.35,0.45,3.195462782052555,3.1981925911644242,0.5459618223738354,0.5459618223738354,8.769856022988494,10.067757295873813,16.907672876454082,0.10077080694698662
0.9500000000000001,1.35,0.45,3.14147099149802,3.1437462393211297,-0.45504956462192603,0.45504956462192603,9.500699720596048,10.819430998032804,18.267916171708162,0.10220803078334739
