frequency,wavelength,ajoint,score,mean_fx,mean_fy,abs_mean_fy,mean_abs_fy,mean_force_mag,peak_force_mag,energy_proxy
1.6,1.5,0.45,6.082010984597906,6.092148523399036,0.20275077602261077,0.20275077602261077,16.470224980032445,20.44304067936979,29.646127090097128,0.10127150615114054
1.5750000000000002,1.5,0.45,6.016576005650775,6.016948306561086,0.007446018206229155,0.007446018206229155,16.548095738931448,20.625595227165384,29.502109372183387,0.10129414001462822
1.5,1.5,0.45,5.808788208113692,5.809416918869862,-0.012574215123390483,0.012574215123390483,16.485523365625628,20.54059921863803,29.253299492027004,0.10124999999999737
1.55,1.5,0.45,5.808234577748507,5.8286250397821995,0.4078092406738411,0.4078092406738411,16.46965555420878,20.61479334986317,29.384052179271123,0.10117840248862772
1.5250000000000001,1.5,0.45,5.7992737449039975,5.8004801171363045,0.02412744464614324,0.02412744464614324,16.43953201536432,20.571406152927445,29.30986006112812,0.10109978344405056
1.4,1.5,0.45,5.750709936887334,5.759628939113441,-0.17838004452215697,0.17838004452215697,16.137943368231998,19.85407332146828,29.0733243808579,0.10116126163837368
1.425,1.5,0.45,5.738554475662889,5.7434890093633415,-0.09869067400904369,0.09869067400904369,16.224566294871323,20.042434491841874,29.109583835365353,0.10116807923778612
1.475,1.5,0.45,5.734984086973939,5.742075488274459,0.1418280260103927,0.1418280260103927,16.499254133969462,20.448816024362657,29.20005947417863,0.1014250898322396
1.4500000000000002,1.5,0.45,5.656952885045886,5.675537017969807,-0.37168265847843374,0.37168265847843374,16.352850313791205,20.227345072017666,29.151535171200038,0.10135019161594827
1.375,1.5,0.45,5.565866819378391,5.589218258010267,-0.467028772637527,0.467028772637527,15.997432464585392,19.597256420543687,29.038694973469173,0.10124999999999919
1.3,1.5,0.45,5.446513199026884,5.447821185980538,-0.026159739073065263,0.026159739073065263,15.575872886170298,18.84374545940452,28.287741133770982,0.10133522480969644
1.325,1.5,0.45,5.429718515538934,5.437837455071912,-0.16237879065956515,0.16237879065956515,15.654068774398876,19.037953766372354,28.680246310732027,0.10119770415845483
1.35,1.5,0.45,5.425807809375117,5.428481730306132,0.05347841862029191,0.05347841862029191,15.78238961738543,19.266216987495078,28.9607562535758,0.10122481184748264
1.275,1.5,0.45,5.30672135917977,5.326685067583845,0.3992741680814913,0.3992741680814913,15.38725287011714,18.54418805826378,28.073003356414254,0.10142951689985671
1.25,1.5,0.45,5.229714845210181,5.230102001213534,-0.007743120067041407,0.007743120067041407,15.005025166794377,18.06284570259675,27.854637709178984,0.10125000000000173
1.2249999999999999,1.5,0.45,5.1771094626369,5.1942949489516534,0.3437097262950665,0.3437097262950665,14.633466145087848,17.612796888679483,27.594767417853678,0.10103913488261557
1.2,1.5,0.45,5.058691785790443,5.075481179706442,0.3357878783199727,0.3357878783199727,14.314641922335698,17.197023908816735,27.291310701786944,0.10112884495565569
