Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.043137077249229,-0.033091143233497,0.018891616874227,0,0,0,0.0714886173099694,5.6934399743836E-05,5.19515213355585E-21,3.45006733065181E-22,3.34382802608172E-05,6.73843517407117E-07,5.95047331154949E-05,0,0,0,0,0,0,package://bus_assembly_5/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bus_assembly_5/meshes/base_link.STL,,bus_body-1;bus_lib_tail-1;bus_lib_head_1-1,base_joint,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.880285458434453,0.20921996743962,-0.28612869716874,0,0,0,0.0861353887155759,1.99776586952403E-05,1.72087942607035E-10,5.06437416027504E-08,4.35086698833605E-05,-6.5121250110597E-13,4.97203166390564E-05,0,0,0,0,0,0,package://bus_assembly_5/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bus_assembly_5/meshes/link1.STL,,bus2-1;bus_servo_cicrcle1-11;bus_servo_cicrcle1-12;bus_servo-6,joint1,axis1,joint1,revolute,-0.0927800250769272,-0.00212127131972741,0,0,0,0,base_link,0,0,1,1.5,1,-2.094,2.094,,,,,,,,
link2,0.899071109697225,0.190850170011342,-0.28612869716874,0,0,0,0.0861353887155759,1.99776586952403E-05,1.72087942606829E-10,5.064374160275E-08,4.35086698833605E-05,-6.51212501969715E-13,4.97203166390564E-05,0,0,0,0,0,0,package://bus_assembly_5/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bus_assembly_5/meshes/link2.STL,,bus2-2;bus_servo_cicrcle1-10;bus_servo-5;bus_servo_cicrcle1-9,joint2,axis2,joint2,revolute,-0.0747,0,0,0,0,0,link1,0,0,-1,1.5,1,-2.094,2.094,,,,,,,,
link3,0.899071109697225,-0.176364843187961,-0.294783838009551,0,0,0,0.0861353887155759,1.99776586952403E-05,1.72087942605691E-10,5.06437416027495E-08,4.35086698833605E-05,-6.51212501694552E-13,4.97203166390564E-05,0,0,0,0,0,0,package://bus_assembly_5/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bus_assembly_5/meshes/link3.STL,,bus2-4;bus_servo-4;bus_servo_cicrcle1-7;bus_servo_cicrcle1-8,joint3,axis3,joint3,revolute,-0.0747,0,0,0,0,0,link2,0,0,-1,1.5,1,-2.094,2.094,,,,,,,,
link4,0.899071109697225,0.190850170011342,-0.28612869716874,0,0,0,0.0861353887155759,1.99776586952403E-05,1.72087942606227E-10,5.06437416027507E-08,4.35086698833605E-05,-6.51212501705177E-13,4.97203166390564E-05,0,0,0,0,0,0,package://bus_assembly_5/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bus_assembly_5/meshes/link4.STL,,bus2-5;bus_servo_cicrcle1-5;bus_servo-3;bus_servo_cicrcle1-6,joint4,axis4,joint4,revolute,-0.0747,0,0,0,0,0,link3,0,0,-1,1.5,1,-2.094,2.094,,,,,,,,
link5,0.899071109697225,0.190850170011342,-0.28612869716874,0,0,0,0.0861353887155759,1.99776586952403E-05,1.72087942606965E-10,5.06437416027503E-08,4.35086698833605E-05,-6.51212501470157E-13,4.97203166390563E-05,0,0,0,0,0,0,package://bus_assembly_5/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bus_assembly_5/meshes/link5.STL,,bus2-3;bus_servo-2;bus_servo_cicrcle1-3;bus_servo_cicrcle1-4,joint5,axis5,joint5,revolute,-0.0746999999999999,0,0,0,0,0,link4,0,0,1,1.5,1,-2.094,2.094,,,,,,,,
link6,0.544169032540516,0.184369871967737,-0.0456756036529305,0,0,0,0.0915951127437805,1.94082875231351E-05,-9.44509099464316E-18,-6.24174548317461E-09,4.01857882657393E-05,-1.75448777121778E-15,4.7214629660733E-05,0,0,0,0,0,0,package://bus_assembly_5/meshes/link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bus_assembly_5/meshes/link6.STL,,bus_servo_cicrcle1-2;bus2_tail-1;bus_servo-1;bus_servo_cicrcle1-1;bus_final_tail-2,joint6,axis6,joint6,revolute,-0.0747,0,0,0,0,0,link5,0,0,-1,1.5,1,-2.094,2.094,,,,,,,,
