frequency,wavelength,ajoint,score,fx_over_abs_fy,abs_fy_over_fx,mean_fx,mean_fy,abs_mean_fy,mean_abs_fy,mean_force_mag,peak_force_mag,energy_proxy
1.25,1.55,0.45,5.711780964245532,12.096421526077474,0.08266907678805664,5.735488340547619,-0.47414752604173466,0.47414752604173466,15.507109405666126,18.984181949941263,28.4206206814083,0.10118945107828495
1.25,1.6,0.45,5.700853029052159,12.546285563857124,0.07970486522965514,5.723663219327983,-0.45620380551647094,0.45620380551647094,15.68893668604599,19.511538588821004,28.831989217873986,0.10126710203083836
1.25,1.5,0.45,5.689226300875987,11.718338212127733,0.08533633198648112,5.7136052064126925,-0.48757811073412055,0.48757811073412055,15.270617083356147,18.4121995772228,27.854670879847315,0.10108972293478326
1.25,1.65,0.45,5.658147397765268,13.009543419397676,0.07686664841050192,5.679977439205217,-0.43660082879897044,0.43660082879897044,15.818543403718166,19.99528811816246,28.880092062864215,0.10132096139435648
1.25,1.45,0.45,5.630520898555962,11.413391767335975,0.0876163738514526,5.6552957237747,-0.49549650437476533,0.49549650437476533,14.975487868571951,17.792449550660127,27.254161672135666,0.10097180529728575
1.25,1.7000000000000002,0.45,5.579789676460869,13.376591187493636,0.07475746144764774,5.6007244736567845,-0.41869594391829423,0.41869594391829423,15.898387496983425,20.43528606272916,28.90187472251092,0.10135092472561354
1.25,1.4,0.45,5.528709780174274,11.164499561963208,0.0895696214998244,5.553581389324788,-0.49743218301029024,0.49743218301029024,14.618425840047811,17.120045374494833,26.56955504748019,0.1008423583634952
1.25,1.75,0.45,5.455405318293528,13.559374492209393,0.0737497146770712,5.475596502280024,-0.40382367972992084,0.40382367972992084,15.932632004795984,20.832838668523294,28.907656896201075,0.10135801332837746
1.25,1.35,0.45,5.373339237945872,10.95374574907239,0.09129297163800651,5.397979115661303,-0.49279755430861877,0.49279755430861877,14.201260983452341,16.393817859948616,25.783240933866214,0.10071135502874877
1.3,1.45,0.45,5.324751766458456,25.905604685111765,0.038601685316950386,5.335048860321289,0.2059418772566772,0.2059418772566772,15.462757122383818,18.36295381849534,27.67505046249871,0.10176044604824541
1.3,1.5,0.45,5.312984579656528,25.244723810284935,0.03961223769034029,5.323528423319319,0.21087687325580737,0.21087687325580737,15.691448171297871,18.949594629774825,28.287788635204173,0.10173707743627775
1.25,1.8,0.45,5.300396454170138,13.810219488646286,0.07241014531464356,5.31965630848621,-0.3851970863214468,0.3851970863214468,15.94663230271612,21.207705033946443,28.905550237446203,0.10134398210880077
1.3,1.4,0.45,5.294146044656533,26.400490482137453,0.03787808414683049,5.304191675587474,0.20091261861882018,0.20091261861882018,15.166800447277769,17.724188424123955,27.04048416155264,0.1017632461675029
1.3,1.55,0.45,5.261733677076976,24.463076103020477,0.040877933575840415,5.272510143047247,0.21552931940543021,0.21552931940543021,15.86026377009246,19.487702179026417,28.881543161050722,0.10169729332055194
1.3,1.35,0.45,5.209423105754534,26.648695343643798,0.03752528921602604,5.219215734750902,0.19585257992736146,0.19585257992736146,14.796437998268956,17.025727183500283,26.30544517008967,0.10174192355681559
1.3,1.6,0.45,5.161540758498019,23.71751983745363,0.04216292457446775,5.17244502897914,0.21808540962242812,0.21808540962242812,15.97164713378408,19.975536762083784,28.95833684839389,0.10164529782954813
1.25,1.3,0.45,5.152887635339544,10.736330953034408,0.0931416891277341,5.176997349225377,-0.4821942777166535,0.4821942777166535,13.725082196539834,15.612547950963942,24.870673512098517,0.10059238623037448
1.3,1.3,0.45,5.056644924734318,26.543208215898424,0.03767442096170711,5.066188210099244,0.1908657072985164,0.1908657072985164,14.348782727130615,16.261782913554125,25.451756614819786,0.10169433845019846
1.2000000000000002,1.55,0.45,5.053083235080978,3.0040934602448224,0.3328791241796132,5.138610035486646,-1.7105360081133658,1.7105360081133658,14.429618926857,17.638380068320448,27.858723352249385,0.10076545632544545
1.2000000000000002,1.6,0.45,5.051439619805141,2.983223371221133,0.33520788608955776,5.137546932145662,-1.72214624681044,1.72214624681044,14.64774763527567,18.177547583217887,28.375702465294985,0.10082175480870213
1.2000000000000002,1.5,0.45,5.028491049182178,3.022910478065442,0.33080701769242116,5.113062903704591,-1.6914370904482672,1.6914370904482672,14.162552676920585,17.06020896265671,27.29132322998134,0.10072239530350002
1.2000000000000002,1.65,0.45,5.024051771218614,2.9591965464943852,0.3379295644233739,5.110399525502742,-1.7269550856825584,1.7269550856825584,14.818281137465647,18.678988650465456,28.72677737530585,0.10088704480029456
1.3,1.65,0.45,5.017843072493252,22.94743096179135,0.043577862884305055,5.028800290970876,0.2191443695524822,0.2191443695524822,16.03730632951976,20.426289646978844,28.96451567198876,0.10158501091972649
1.2000000000000002,1.45,0.45,4.971423862626325,3.037105936628824,0.3292608229234164,5.054638585640751,-1.6642944602885272,1.6642944602885272,13.845853103305162,16.440245388143545,26.645832664669935,0.10069712471227903
1.2000000000000002,1.7000000000000002,0.45,4.969855366543545,2.930370442493047,0.34125378330981193,5.056126481071473,-1.7254222905585666,1.7254222905585666,14.940790179656682,19.142426953347986,28.759997744184762,0.10095758293903774
