start,iteration,score,amp_scale_1,amp_scale_2,amp_scale_3,amp_scale_4,amp_scale_5,amp_scale_6,phase_lag_1,phase_lag_2,phase_lag_3,phase_lag_4,phase_lag_5,mean_fx,mean_fy,abs_mean_fy,mean_abs_fy,mean_force_mag,peak_force_mag,energy_proxy,fx_over_abs_fy
1,4,4.661595265484587,1.2400000000000002,1.08,1.0,1.0,1.0,1.0,0.6144393241167435,0.6144393241167435,0.6144393241167435,0.6144393241167435,0.6144393241167435,4.66400058185927,-0.007135818734126815,0.007135818734126815,13.702281021800289,17.193483815348237,27.824437215714795,0.11312999999999918,653.6041280804741
1,4,4.6165298365850855,1.2400000000000002,1.0,1.08,1.0,1.0,1.0,0.6144393241167435,0.6144393241167435,0.6144393241167435,0.6144393241167435,0.6144393241167435,4.618935215150677,-0.0071389282796117184,0.0071389282796117184,13.465924286374591,16.902674535193743,28.03316676936837,0.1131299999999992,647.0068102998085
1,4,4.6103886194625865,1.2400000000000002,1.0,1.0,1.0,1.0,1.08,0.6144393241167435,0.6144393241167435,0.6144393241167435,0.6144393241167435,0.6144393241167435,4.6127713961776005,-0.006008835750696107,0.006008835750696107,13.327483894935538,16.493048539448463,27.406926576146684,0.11312999999999913,767.664750304287
1,4,4.5943482301338845,1.2400000000000002,1.0,1.0,1.0,1.08,1.0,0.6144393241167435,0.6144393241167435,0.6144393241167435,0.6144393241167435,0.6144393241167435,4.596742137225443,-0.0065653545779280195,0.0065653545779280195,13.281934310191133,16.44508739309455,27.27868880107398,0.11312999999999915,700.1513905553816
1,4,4.58328605692927,1.2400000000000002,1.0,1.0,1.08,1.0,1.0,0.6144393241167435,0.6144393241167435,0.6144393241167435,0.6144393241167435,0.6144393241167435,4.585689308369289,-0.00703257200091241,0.00703257200091241,13.299227359227512,16.578419272856774,27.488424028808364,0.1131299999999992,652.0643240871674
1,4,4.580976929771228,1.25,1.0,1.0,1.0,1.0,1.0,0.6144393241167435,0.6144393241167435,0.6144393241167435,0.6144393241167435,0.6144393241167435,4.583324921503251,-0.006657399101142573,0.006657399101142573,13.389124508034465,16.62591786995305,27.604838988715443,0.11074218749999915,688.4557845896064
1,4,4.573389492206398,1.2400000000000002,1.0,1.0,1.0,1.0,1.0,0.6144393241167435,0.6144393241167435,0.6144393241167435,0.6544393241167435,0.6144393241167435,4.575718903652569,-0.006148572308519761,0.006148572308519761,13.318564030726849,16.471655603182402,27.408314184366755,0.11032199999999918,744.1920943683513
1,4,4.569251011238007,1.2400000000000002,1.0,1.0,1.0,1.0,1.0,0.6144393241167435,0.6144393241167435,0.6544393241167435,0.6144393241167435,0.6144393241167435,4.571577304546412,-0.005992665420220419,0.005992665420220419,13.255393267314538,16.326735121090337,27.149435524504476,0.11032199999999917,762.8620962420196
1,4,4.568325916330408,1.2400000000000002,1.0,1.0,1.0,1.0,1.0,0.5744393241167435,0.6144393241167435,0.6144393241167435,0.6144393241167435,0.6144393241167435,4.57067421549978,-0.007092958468628695,0.007092958468628695,13.509477687666955,16.880051556239934,27.625567423647055,0.1103219999999992,644.3960211687865
1,4,4.563782592748669,1.2400000000000002,1.0,1.0,1.0,1.0,1.0,0.6144393241167435,0.6144393241167435,0.6144393241167435,0.6144393241167435,0.6544393241167435,4.56611794442444,-0.006445583788583917,0.006445583788583917,13.329073883244503,16.534744105014298,27.48975253163097,0.11032199999999918,708.4102998570448
