time,x,y,yaw,waypoint_index,distance,steer,laps
0.02000000000000001,-0.5322146780023103,-0.3978074837359781,-0.029358383962389704,0,1.0834339132150437,-0.012483371856536252,0
0.04000000000000003,-0.5108996540558447,-0.39315915424733416,-0.09657823465630432,0,1.0618123090546578,-0.04322273924589615,0
0.060000000000000046,-0.4961878034553525,-0.38840595693209595,-0.17671867715943135,0,1.0468707181175152,-0.08101518928178031,0
0.08000000000000006,-0.4853420894258338,-0.3856214130369643,-0.24036083341140757,0,1.0359222425232064,-0.11199017853107285,0
0.10000000000000007,-0.47660276384070815,-0.3851422031219912,-0.2810726975618975,0,1.0271152411521038,-0.13246726166345502,0
0.12000000000000009,-0.4690220762757059,-0.38620972190460645,-0.31058431766891065,0,1.0194743672131528,-0.14778699305591947,0
0.1400000000000001,-0.46243984798427523,-0.38795888280352553,-0.33995789333059634,0,1.012812557033236,-0.16321920347204788,0
0.16000000000000011,-0.4570568863557205,-0.3902062885893456,-0.37049974951761067,0,1.0073505540605867,-0.17959941263471935,0
0.18000000000000013,-0.4524735401930354,-0.39322957854916735,-0.39420882846702127,0,1.0027178894269815,-0.19320854329148962,0
0.20000000000000015,-0.44807269344670003,-0.39727430130995345,-0.4020579097578031,0,0.998298549775958,-0.19957943750680762,0
0.22000000000000017,-0.44364991736420123,-0.4023432519533809,-0.3913017061027505,0,0.9938712986092462,-0.1971600334562733,0
0.24000000000000019,-0.43940260995048086,-0.4081613699462434,-0.3659099902557379,0,0.9896376702508369,-0.1876834147150941,0
0.2600000000000002,-0.43559274239112833,-0.4143356214034903,-0.33238741725515364,0,0.9858698618255811,-0.17419663392131146,0
0.2800000000000002,-0.4323404424749884,-0.4205600628291823,-0.2956328168606766,0,0.9826990634817823,-0.15905926009392446,0
0.3000000000000002,-0.4295668807632919,-0.42668553475569243,-0.257226071651628,0,0.9800520453654826,-0.14305811566940085,0
0.32000000000000023,-0.4270968130193468,-0.4326712949451681,-0.21634628610033715,0,0.9777516580623609,-0.12579415860566834,0
0.34000000000000025,-0.4248047773142616,-0.43850681878355535,-0.1718329605324527,0,0.9756646743750509,-0.10666680136795614,0
0.36000000000000026,-0.42266719779099016,-0.4441611392757566,-0.12365701918161359,0,0.9737594127405299,-0.08560928798545797,0
0.3800000000000003,-0.4207058624688942,-0.4495581880054249,-0.07308987498736402,0,0.9720503474272588,-0.06319104237856132,0
0.4000000000000003,-0.4189189467034432,-0.4545976060875472,-0.02194503606064782,0,0.9705281287405344,-0.04026282751725896,0
0.4200000000000003,-0.4172503866394135,-0.459190033341864,0.028267689574157463,0,0.969128286084988,-0.017546653933149026,0
0.44000000000000034,-0.4156081581763551,-0.4632757274477756,0.07668762068774772,0,0.9677493812971298,0.004541891510859042,0
0.46000000000000035,-0.41390858312721723,-0.46681698969466867,0.12289823752801309,0,0.9662973278294935,0.02580607044063532,0
0.48000000000000037,-0.41210470889140627,-0.46977630554752803,0.16656049128778755,0,0.9647148894576091,0.04609574647690651,0
0.5000000000000003,-0.4101666633251117,-0.47210012309308647,0.20718798310776093,0,0.9629626643835997,0.06519977465198279,0
0.5200000000000004,-0.40806830045962905,-0.47372940419768705,0.24409426034509255,0,0.9610049117586265,0.08280969032022911,0
0.5400000000000004,-0.40578591642662565,-0.4746146872663406,0.2765448602044647,0,0.9588104496684553,0.09858324590382583,0
