time,x,y,yaw,vx,vy,yaw_rate
2.0009999999998906,-3.5493550607935953,-0.06999665158591689,-1.0863708745687162,0.019840017483919656,0.027153146432269026,-3.896522723327301
2.0019999999998905,-3.5493362177659,-0.06997016493582647,-1.0902612815592276,0.017880845117123994,0.025798115439752932,-3.883636349540389
2.0029999999998904,-3.5493193301441783,-0.06994503697743305,-1.0941387226134278,0.01592957414507083,0.02443625931907113,-3.8705957755553007
2.0039999999998903,-3.54930438994334,-0.069921274579854,-1.0980030439418875,0.013986368757596073,0.023067491533953852,-3.8574018505421073
2.00499999999989,-3.549291389015468,-0.06989888469827965,-1.1018540926102367,0.012051390379819261,0.021691726465224773,-3.8440554351011715
2.00599999999989,-3.549280319052629,-0.06987787437302179,-1.1056917165502038,0.010124797580090045,0.020308879478561075,-3.830557400469864
2.00699999999989,-3.549271171589783,-0.06985825072849736,-1.1095157645698337,0.008206745971116433,0.018918866986450643,-3.816908627672722
2.00799999999989,-3.549263938007786,-0.06984002097215315,-1.1133260863628254,0.006297388104201896,0.017521606503989068,-3.80311000661034
2.0089999999998898,-3.5492586095365124,-0.06982319239333808,-1.1171225325169256,0.0043968733565805836,0.01611701669813773,-3.7891624350821465
2.0099999999998897,-3.5492551772580856,-0.06980777236212948,-1.120904954521311,0.002505347811914787,0.014705017430046145,-3.775066817738151
2.0109999999998895,-3.5492536321102346,-0.06979376832812087,-1.1246732047728836,0.0006229541341067207,0.013285529790031515,-3.7608240649548184
2.0119999999998894,-3.5492539648897807,-0.0697811878191784,-1.1284271365814027,-0.0012501685653200881,0.01185847612480647,-3.7464350916304334
2.0129999999998893,-3.549256166256258,-0.06977003844017435,-1.1321666041733704,-0.003113884865894873,0.010423780056557938,-3.7319008158957403
2.013999999999889,-3.5492602267356768,-0.06976032787170554,-1.1358914626945829,-0.0049680631824173494,0.008981366493509942,-3.7172221577363387
2.014999999999889,-3.549266136724434,-0.06975206386880574,-1.13960156821126,-0.006812575914051881,0.007531161631656647,-3.7024000375243658
2.015999999999889,-3.54927388649337,-0.06974525425966076,-1.1432967777096597,-0.008647299597457166,0.006073092947436335,-3.6874353744584893
2.016999999999889,-3.5492834661919916,-0.0697399069443355,-1.1469769490940882,-0.01047211506291898,0.004607089181241886,-3.6723290849133
2.0179999999998888,-3.5492948658528363,-0.06973602989352197,-1.150641941183214,-0.012286907592245875,0.003133080311838,-3.657082080701946
2.0189999999998887,-3.5493080753960093,-0.06973363114731741,-1.154291613704606,-0.01409156707696815,0.001650997521992347,-3.6416952672594682
2.0199999999998886,-3.5493230846338677,-0.06973271881404079,-1.157925827287418,-0.015885988175153735,0.0001607731559410317,-3.626169541758906
2.0209999999998884,-3.5493398832758682,-0.06973330106909556,-1.1615444434531648,-0.017670070464930493,-0.001337659330287223,-3.6105057911780687
2.0219999999998883,-3.5493584609335587,-0.06973538615388504,-1.1651473246045494,-0.019443718592593844,-0.0028443654241552064,-3.5947048903420153
2.022999999999888,-3.549378807125718,-0.06973898237478486,-1.1687343340123342,-0.021206842412997907,-0.0043594096153471915,-3.5787676999749585
2.023999999999888,-3.5494009112836324,-0.06974409810217479,-1.172305335800287,-0.022959357119796846,-0.00588285545502488,-3.5626950648055207
2.024999999999888,-3.5494247627564923,-0.06975074176952824,-1.1758601949282816,-0.024701183363044835,-0.007414765611796815,-3.5464878117810477
2.025999999999888,-3.549450350816902,-0.06975892187255436,-1.1793987771736947,-0.026432247351703263,-0.008955201919571514,-3.5301467484597993
2.026999999999888,-3.5494776646664827,-0.06976864696838113,-1.1829209491113184,-0.02815248093876971,-0.010504225411342976,-3.513672661663883
2.0279999999998877,-3.549506693441553,-0.06977992567476235,-1.1864265780920962,-0.02986182168705707,-0.012061896331781253,-3.49706631649
2.0289999999998876,-3.5495374262188593,-0.06979276666928319,-1.189915532221093,-0.03156021291412588,-0.013628274120346173,-3.4803284557882836
2.0299999999998875,-3.5495698520213477,-0.06980717868853004,-1.1933876803352295,-0.03324760371550499,-0.015203417355624492,-3.4634598002300434
2.0309999999998873,-3.5496039598239433,-0.06982317052718116,-1.1968428919814298,-0.03492394896609349,-0.0167873836508664,-3.4464610490909546
2.0319999999998872,-3.549639738559321,-0.06984075103696434,-1.2002810373959638,-0.03658920930045257,-0.018380229490464393,-3.4293328818744118
2.032999999999887,-3.549677177123648,-0.0698599291254171,-1.2037019874858796,-0.03824335107345815,-0.0199820099976047,-3.412075960887489
2.033999999999887,-3.5497162643822797,-0.06988071375437693,-1.207105613813527,-0.03988634630333542,-0.021592778624770118,-3.394690934856194
2.034999999999887,-3.549756989175383,-0.06990311393812113,-1.2104917885852353,-0.04151817259923997,-0.023212586761396075,-3.377178443625063
2.035999999999887,-3.5497993403234904,-0.06992713874107195,-1.2138603846452325,-0.04313881307507693,-0.024841483256917644,-3.3595391239273913
2.0369999999998867,-3.5498433066329556,-0.06995279727498442,-1.217211275475834,-0.04474825624998058,-0.02647951386269097,-3.34177361613745
2.0379999999998866,-3.5498888769013006,-0.06998009869553949,-1.2205443352048075,-0.04634649593371444,-0.028126720602625294,-3.3238825718285785
2.0389999999998865,-3.5499360399224424,-0.07000905219827952,-1.2238594386205892,-0.047933531092253526,-0.029783141089370642,-3.30586666186811
2.0399999999998863,-3.5499847844917714,-0.07003966701384289,-1.2271564611957184,-0.04950936568523575,-0.03144880780986828,-3.287726584691936
2.0409999999998862,-3.550035099411045,-0.07007195240248133,-1.2304352791184598,-0.05107400846330832,-0.03312374741008222,-3.2694630743306754
2.041999999999886,-3.5500869734930554,-0.07010591764787605,-1.233695769332134,-0.052627472710330886,-0.03480798001280339,-3.251076907718918
2.042999999999886,-3.5501403955660025,-0.0701415720503028,-1.2369378095812014,-0.05416977591370877,-0.03650151860366619,-3.232568910819791
2.043999999999886,-3.5501953544774976,-0.07017892491923092,-1.2401612784627003,-0.05570093934652488,-0.03820436851834956,-3.2139399631453753
2.044999999999886,-3.550251839098096,-0.07021798556547142,-1.2433660554812636,-0.05722098754807242,-0.03991652705823351,-3.1951910003485318
2.0459999999998857,-3.5503098383242575,-0.07025876329301242,-1.246552021105675,-0.05872994769489516,-0.041637983252995114,-3.1763230146949124
2.0469999999998856,-3.550369341080624,-0.07030126739069367,-1.249719056824818,-0.060227848862057204,-0.04336871777772891,-3.1573370533800547
2.0479999999998855,-3.550430336321507,-0.07034550712387322,-1.2528670452009072,-0.06171472118317217,-0.045108703020503994,-3.138234214815774
2.0489999999998854,-3.5504928130314912,-0.07039149172623045,-1.2559958699180995,-0.06319059492651712,-0.04685790328527762,-3.1190156431525957
2.0499999999998852,-3.5505567602250836,-0.0704392303918292,-1.2591054158248964,-0.06465549951208308,-0.048616275106056255,-3.099682521413948
2.050999999999885,-3.5506221669453626,-0.07048873226753798,-1.26219556896917,-0.0661094624996235,-0.050383767642030335,-3.0802360636828188
2.051999999999885,-3.550689022261614,-0.07054000644587163,-1.2652662166250932,-0.06755250858000143,-0.05216032312049687,-3.060677506799689
2.052999999999885,-3.5507573152659737,-0.0705930619582863,-1.268317247311707,-0.06898465860123816,-0.05394587729461863,-3.0410081020059327
2.053999999999885,-3.5508270350691244,-0.07064790776892672,-1.2713485508032634,-0.07040592865691653,-0.05574035988595133,-3.021229106909008
2.0549999999998847,-3.5508981707951217,-0.07070455276879846,-1.2743600181318222,-0.07181632925860892,-0.05754369498649176,-3.001341778066799
2.0559999999998846,-3.5509707115754185,-0.0707630057701643,-1.2773515415824268,-0.07321586450376921,-0.05935580069395422,-2.9813473615756902
2.0569999999998845,-3.551044646541609,-0.0708232754971197,-1.2803230146681022,-0.07460453056617254,-0.061176583287283225,-2.961247063087796
2.0579999999998844,-3.5511199648176603,-0.07088537057676447,-1.2832743320897544,-0.07598231566304316,-0.06300594079929625,-2.941042056650673
2.0589999999998843,-3.551196655511749,-0.07094929953117418,-1.2862053897119279,-0.0773492001272675,-0.06484376661366417,-2.9207334949338355
2.059999999999884,-3.5512747077082913,-0.07101507077345681,-1.2891160845402425,-0.07870515606026887,-0.06668994957757801,-2.9003225067556473
2.060999999999884,-3.5513541104595645,-0.07108269260328401,-1.2920063146965464,-0.080050147031235,-0.06854437399764221,-2.8798101952285178
2.061999999999884,-3.5514348527770387,-0.07115217320233831,-1.2948759793926192,-0.081384127804987,-0.0704069196094475,-2.85919763670436
2.062999999999884,-3.551516923622431,-0.07122352062973372,-1.2977249789031962,-0.08270704406722225,-0.0722774615603021,-2.8384858804627653
2.0639999999998837,-3.5516003118970283,-0.07129674270715561,-1.3005532144018153,-0.08401882618363654,-0.07415556705338791,-2.8176753550627227
2.0649999999998836,-3.551685006401149,-0.07137184635756261,-1.303360586485375,-0.08531934822782228,-0.07604006689383101,-2.796765026703353
