time,force_x,force_y,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,ctrl6
1.0010000000000006,1.6415456094729302,2.9406684133884817,7.552732929608081e-16,-0.14161361894223257,-0.2775047574001513,-0.3177042225313238,-0.20413854324130123,0.04868781053854689
1.0020000000000004,1.6582830311017847,2.952094037464151,0.0011309659138011364,-0.14044037687774127,-0.2770152284023728,-0.3184934089361505,-0.20626656005958244,0.045876032538989024
1.0030000000000003,1.6749936157254852,2.9635260979811333,0.0022618871790039243,-0.13926159046764316,-0.276514763317703,-0.3192700217665407,-0.20838643382725772,0.04306244343221847
1.0040000000000002,1.6916831351588038,2.9749732609027113,0.0033927191487738567,-0.1380773062484074,-0.27600338190364654,-0.32003403036314926,-0.21049808085534022,0.04024715429391592
1.0050000000000001,1.708356986246958,2.9864438187478166,0.004523417179800901,-0.13688757097354734,-0.275481104348666,-0.3207854045642251,-0.2126014177796207,0.03743027626687642
1.006,1.7250201855838698,2.9979457296367773,0.005653936634063177,-0.13569243161177416,-0.27494795127138505,-0.3215241147068014,-0.21469636156395944,0.0346119205566204
1.007,1.7416773673890171,3.00948665335322,0.006784232880588231,-0.1344919353451436,-0.2744039437197741,-0.3222501316278666,-0.21678282950356276,0.031792198427005904
1.0079999999999998,1.7583327842383771,3.0210739844001537,0.007914261297215466,-0.13328612956719288,-0.27384910317032,-0.32296342666551553,-0.2188607392282486,0.02897122119583487
1.0089999999999997,1.7749903103474582,3.0327148820808745,0.009043977272358233,-0.13207506188106904,-0.2732834515271775,-0.3236639716600819,-0.2209300087056996,0.026149100230457308
1.0099999999999996,1.791653447113061,3.0444162976744993,0.010173336206764059,-0.1308587800976509,-0.27270701112130485,-0.32435173895524855,-0.22299055624469968,0.023325946943377075
1.0109999999999995,1.8083253306328613,3.056184998804346,0.011302293515275822,-0.1296373322336608,-0.27211980470958247,-0.32502670139914025,-0.22504230049835994,0.020501872787852336
1.0119999999999993,1.8250087409364613,3.0680275911170947,0.012430804628592388,-0.1284107665097686,-0.2715218554739138,-0.3256888323453957,-0.22708516046733096,0.017676989253494365
1.0129999999999992,1.8417061126772785,3.0799505374035894,0.013558824995027165,-0.12717913134868905,-0.27091318702031086,-0.3263381056542188,-0.22911905550299877,0.014851407861868518
1.0139999999999991,1.8584195470508638,3.091960174300175,0.014686310082267406,-0.12594247537326955,-0.2702938233779621,-0.32697449569341086,-0.23114390531066972,0.012025240162090367
1.014999999999999,1.8751508247215007,3.1040627267135203,0.015813215379132748,-0.12470084740457026,-0.2696637889982835,-0.32759797733938306,-0.2331596299527411,0.009198597726420727
1.015999999999999,1.8919014195549924,3.1162643201130784,0.016939496397331485,-0.12345429645993745,-0.26902310875395363,-0.3282085259781475,-0.23516614985185508,0.006371592145863369
1.0169999999999988,1.9086725129712416,3.128570990834647,0.01806510867321736,-0.1222028717510682,-0.2683718079379316,-0.32880611750628924,-0.23716338579404164,0.0035443350257584063
1.0179999999999987,1.9254650087454521,3.1409886945360945,0.019190007769545395,-0.12094662268206688,-0.26770991226245816,-0.32939072833191824,-0.23915125893184608,0.0007169379813751002
1.0189999999999986,1.942279548101428,3.1535233129430447,0.020314149277225243,-0.11968559884749584,-0.26703744785804145,-0.3299623353755999,-0.24112969078744045,-0.002110487366492116
1.0199999999999985,1.9591165249546028,3.166180659018198,0.021437488817074864,-0.11841985003041708,-0.26635444127242475,-0.3305209160712668,-0.24309860325572238,-0.004937829395931436
1.0209999999999984,1.9759761011759338,3.1789664806834947,0.02255998204157301,-0.11714942620042618,-0.26566091946953835,-0.33106644836710986,-0.24505791860739956,-0.007764976488321524
1.0219999999999982,1.9928582217607311,3.1918864632193813,0.023681584636609024,-0.11587437751168085,-0.26495690982843567,-0.33159891072644787,-0.2470075594920565,-0.010591817032735621
1.0229999999999981,2.009762629798854,3.2049462304605236,0.024802252323232802,-0.11459475430092024,-0.26424244014221193,-0.3321182821285787,-0.2489474489412091,-0.013418239430348963
1.023999999999998,2.0266888811544215,3.2181513449021275,0.025921940859403275,-0.1133106070854773,-0.2635175386169068,-0.3326245420696087,-0.2508775103713441,-0.0162441320988457
1.024999999999998,2.0436363587743656,3.2315073068259035,0.027040606041734087,-0.11202198656128547,-0.26278223387039146,-0.3331176705632622,-0.2527976675869407,-0.01906938347682158
